SEL              | 72h | ns  |  7.1 | No Reading
Intrusion        | 73h | ok  |  7.1 | 
Fan1A RPM        | 30h | ok  |  7.1 | 2160 RPM
Fan2A RPM        | 32h | ok  |  7.1 | 2280 RPM
Fan3A RPM        | 34h | ok  |  7.1 | 2280 RPM
Fan4A RPM        | 36h | ok  |  7.1 | 2400 RPM
Fan5A RPM        | 38h | ok  |  7.1 | 2280 RPM
Fan6A RPM        | 3Ah | ok  |  7.1 | 2160 RPM
Inlet Temp       | 04h | ok  |  7.1 | 23 degrees C
Exhaust Temp     | 01h | ok  |  7.1 | 37 degrees C
Temp             | 0Eh | ok  |  3.1 | 47 degrees C
Temp             | 0Fh | ok  |  3.2 | 45 degrees C
OS Watchdog      | 71h | ok  |  7.1 | 
VCORE PG         | 23h | ok  |  3.1 | State Deasserted
VCORE PG         | 24h | ok  |  3.2 | State Deasserted
3.3V PG          | 19h | ok  |  7.1 | State Deasserted
5V PG            | 1Ah | ok  |  7.1 | State Deasserted
USB Cable Pres   | 50h | ok  |  7.1 | Connected
VGA Cable Pres   | 51h | ok  |  7.1 | Connected
Dedicated NIC    | 70h | ok  |  7.1 | Present
Presence         | 49h | ok  | 11.2 | Present
Presence         | 40h | ok  |  3.1 | Present
Presence         | 41h | ok  |  3.2 | Present
PLL PG           | 22h | ok  |  3.2 | State Deasserted
PLL PG           | 25h | ok  |  3.1 | State Deasserted
1.1V PG          | 27h | ok  |  7.1 | State Deasserted
M23 VDDQ PG      | 15h | ok  |  3.1 | State Deasserted
M23 VTT PG       | 16h | ok  |  3.1 | State Deasserted
FETDRV PG        | 21h | ok  |  7.1 | State Deasserted
Presence         | 43h | ok  | 10.2 | Absent
VSA PG           | 29h | ok  |  3.2 | State Deasserted
VSA PG           | 2Bh | ok  |  3.1 | State Deasserted
M01 VDDQ PG      | 1Bh | ok  |  3.2 | State Deasserted
M01 VDDQ PG      | 1Eh | ok  |  3.1 | State Deasserted
M23 VTT PG       | 2Eh | ok  |  3.2 | State Deasserted
M01 VTT PG       | 1Ch | ok  |  3.2 | State Deasserted
NDC PG           | 2Fh | ok  |  7.1 | State Deasserted
LCD Cable Pres   | 4Ch | ok  |  7.1 | Connected
VTT PG           | 1Fh | ok  |  3.2 | State Deasserted
VTT PG           | 20h | ok  |  3.1 | State Deasserted
M23 VDDQ PG      | 1Dh | ok  |  3.2 | State Deasserted
Presence         | 4Ah | ok  | 11.1 | Present
Presence         | 48h | ok  | 11.3 | Absent
Status           | 60h | ok  |  3.1 | Presence detected
Status           | 61h | ok  |  3.2 | Presence detected
Fan Redundancy   | 75h | ok  |  7.1 | Fully Redundant
Riser Config Err | 64h | ok  |  7.1 | Connected
Riser 3 Presence | 4Fh | ok  |  7.1 | Connected
1.5V PG          | 28h | ok  |  7.1 | State Deasserted
PS2 PG Fail      | 2Ch | ns  |  7.1 | Disabled
PS1 PG Fail      | 2Dh | ns  |  7.1 | Disabled
BP1 5V PG        | F6h | ok  |  7.1 | State Deasserted
BP2 5V PG        | F7h | ns  |  7.1 | Disabled
M01 VTT PG       | 14h | ok  |  3.1 | State Deasserted
Presence         | 42h | ok  | 10.1 | Present
PCIe Slot1       | 90h | ns  |  7.1 | Disabled
PCIe Slot2       | 91h | ns  |  7.1 | Disabled
PCIe Slot3       | 92h | ns  |  7.1 | Disabled
PCIe Slot4       | 93h | ns  |  7.1 | Disabled
PCIe Slot5       | 94h | ns  |  7.1 | Disabled
PCIe Slot6       | 95h | ns  |  7.1 | Disabled
PCIe Slot7       | 96h | ns  |  7.1 | Disabled
vFlash           | FAh | ok  |  0.1 | 
CMOS Battery     | 65h | ok  |  7.1 | 
ROMB Battery     | 68h | ok  | 11.2 | 
ROMB Battery     | 69h | ns  | 11.4 | Disabled
Presence         | 54h | ok  | 26.1 | Present
Presence         | 55h | ok  | 26.2 | Absent
Current 1        | 6Ah | ok  | 10.1 | 0.40 Amps
Current 2        | 6Bh | ns  | 10.2 | No Reading
Voltage 1        | 6Ch | ok  | 10.1 | 220 Volts
Voltage 2        | 6Dh | ns  | 10.2 | No Reading
PS Redundancy    | 74h | ns  |  7.1 | No Reading
Status           | 62h | ok  | 10.1 | Presence detected
Status           | 63h | ns  | 10.2 | Disabled
